,BES,HHO,CoSH
77,0.04226076433321201,4.2204516132835487e-14,1.2196284218280004e-52
78,0.039642347240912104,2.7569486186983874e-14,1.0500546368442783e-52
79,0.03853041909547925,2.7569486186983874e-14,7.533116704759749e-53
80,0.03544944382093799,2.0244386844310945e-14,6.259802198477668e-53
81,0.034327288396449454,1.3804783560743855e-14,5.9058431863913225e-53
82,0.034327288396449454,9.450182701470847e-15,5.562323033044228e-53
83,0.034327288396449454,5.7702407572082894e-15,4.86155110925583e-53
84,0.03310398278182198,4.51472700006173e-15,2.2055016184283913e-53
85,0.031671885874551026,2.617704847842643e-15,1.789541406393216e-53
86,0.02858608532908107,1.5842167548243342e-15,1.3545734114707347e-53
87,0.027055215902266512,1.0532426309188566e-15,1.0549239883463486e-53
88,0.027055215902266512,8.225163316076797e-16,9.78265957582391e-54
89,0.02594432609434046,5.404853959852636e-16,8.614259250544374e-54
90,0.02533339897954348,3.4928362432314415e-16,7.285193519986553e-54
91,0.023808841777023047,2.4206234514664624e-16,4.7030440245103276e-54
92,0.02047911394250108,1.8771278831115068e-16,3.009219318362558e-54
93,0.018141332931370775,1.4904225740020006e-16,2.3973097222879987e-54
94,0.01753732600058679,7.543875486304252e-17,1.5365475298309784e-54
95,0.015557131807740496,6.307384845406902e-17,7.241506145575785e-55
96,0.015557131807740496,3.420529238091423e-17,4.55713887377921e-55
97,0.015557131807740496,3.1768105440922117e-17,1.2639202815885564e-55
98,0.015557131807740496,1.8130516128708973e-17,1e-06
99,0.015557131807740496,1.4776161430329736e-17,1e-06
